"","Job","Firm","Functional area","Type"
"1","Senior Infrastructure & Cloud Services Advisor
West Monroe","West Monroe","Cloud
+1
IT Architecture","Job"
"2","Senior 3D/Motion Designer
Yonder Consulting","Yonder Consulting","Marketing
+1
Digital","Job"
"3","Manager - Technology
First Consulting","First Consulting","Mobile & Apps
+6
Project Management
Business Intelligence
Cloud
IT Architecture
Software
More","Job"
"4","HR Manager
BearingPoint","BearingPoint","Human Resources","Job"
"5","Analyst, satellite and space markets
Analysys Mason","Analysys Mason","Strategy
+4
Digital
Innovation
IT Strategy
Data Science","Job"
"6","PH-4804; Test Automation Manager, Python / Azure
B2E Consulting","B2E Consulting","Unknown","Job"
"7","Director Client Services - Life Sciences
Genioo","Genioo","Strategy
+2
Management
Sales","Job"
"8","Internships
Simon-Kucher","Simon-Kucher","Pricing","Internship"
"9","Senior Business Development Manager
Ayming","Ayming","Sales","Job"
"10","PMO Lead
ThreeTwoFour","ThreeTwoFour","Project Management","Job"
"11","M&A Managing Partner UK
Marktlink","Marktlink","Unknown","Job"
"12","Senior Consultant - Local Government Strategy
Campbell Tickell","Campbell Tickell","Strategy","Job"
"13","Data Scientist
Digital Power","Digital Power","Data Science","Job"
"14","Director - Supply Chain Strategy & Transformation
Capgemini Invent","Capgemini Invent","Strategy
+1
Supply Chain","Job"
"15","Consultants and Senior Consultants
Procura Consulting","Procura Consulting","Project Management
+2
Supply Chain
Finance","Job"
"16","Sourcing & Commercial Role
Coeus Consulting","Coeus Consulting","Project Management
+3
IT Strategy
IT Architecture
Outsourcing & Shared Services","Job"
"17","Management Consultants
Collinson Grant","Collinson Grant","Process Management
+3
Performance Management
Supply Chain
Change Management","Job"
"18","Experienced Hire
Fairgrove Partners","Fairgrove Partners","Strategy
+1
Mergers & Acquisitions","Job"
"19","Internship / Work Placement
Skarbek Associates","Skarbek Associates","Marketing
+3
Digital
Project Management
Data Science","Internship"
"20","Alvarez & Marsal","Alvarez & Marsal","Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma","Job"
"21","AWS Principal Architect
PA Consulting","PA Consulting","Unknown","Job"
"22","Associate
McKinsey & Company","McKinsey & Company","Strategy
+1
Digital","Job"
"23","Healthcare consultant
Develop Consulting","Develop Consulting","Lean & SixSigma
+1
Change Management","Job"
"24","Independent Consultant 
dss+","dss+","Sustainability","Job"
"25","Principal Consultants
Q5","Q5","Strategy
+2
Sales
Project Management","Job"
"26","Strategy& - Strategy Senior Associate
PwC","PwC","Strategy","Job"
"27","Analyst
Change Management Group","Change Management Group","Process Management
+2
Change Management
Data Science","Job"
"28","Analyst
Enfuse Group","Enfuse Group","Digital
+2
Innovation
Process Management","Job"
"29","Consultant Roles (at all levels) – IT Advisory
Mason Advisory","Mason Advisory","Digital
+4
IT Strategy
Data Science
Cloud
IT Architecture","Job"
"30","Intermediate Quantity Surveyor
Panoptic Consultancy Group","Panoptic Consultancy Group","Project Management
+1
Risk & Compliance","Job"
"31","Consultant Treasury Technology
Zanders","Zanders","Corporate Finance
+1
Finance","Job"
"32","Data Engineer
Valcon","Valcon","Data Science
+3
Business Intelligence
IT Architecture
Software","Job"
"33","Senior Analyst
CIL Management Consultants","CIL Management Consultants","Strategy
+1
Data Science","Job"
"34","Senior Consultant | Energy & Natural Resources | Strategic Communications
FTI Consulting","FTI Consulting","Unknown","Job"
"35","Associate Consultant
Bain & Company","Bain & Company","Strategy","Job"
"36","Senior Strategist
The Upside","The Upside","Strategy
+2
Marketing
Innovation","Job"
"37","Business Analyst
Humatica","Humatica","Data Science","Job"
"38","Business Development Manager UK
COMATCH","COMATCH","Sales","Job"
"39","Operational Technology Cyber Security Expert | Senior Manager | Dublin or Cork
PwC","PwC","IT Strategy
+1
Cyber Security","Job"
"40","Marketing Executive/Manager
Panoptic Consultancy Group","Panoptic Consultancy Group","Marketing","Job"
